Time,Node1,Node2,Node3,Node4,Node5,Node6,Node7,Node8
63.0,150.62263850879677,121.94856690417367,105.84510911835775,97.12699146218789,92.5556869799345,90.17735588614951,88.87952577622058,88.10295188223867
66.0,150.00906256481358,120.76964597815626,104.18687253919481,95.09631561781316,90.26275655356865,87.72285773210476,86.3493841537615,85.57048070243064
69.0,149.44159052488592,119.6775696623234,102.64708894646094,93.20527765253466,88.12128424651891,85.42476626646778,83.9764737585568,83.19396868639431
72.0,148.91630273521662,118.66520867169803,101.21656653941417,91.44380728752843,86.12120774887086,83.27346872144896,81.75166775381246,80.96455263423928
75.0,148.42967931082242,117.7261230523979,99.88692503840473,89.80261576194015,84.2531293367083,81.25988628639827,79.66627900950758,78.87377283050522
78.0,147.9785494666758,116.8544807458443,98.6505115578664,88.27313043318821,82.50827602862954,79.37545450385679,77.71205130958158,76.9135673612339
81.0,147.5600488247385,116.04498794780027,97.50032667766848,86.84743473342746,80.8784605236837,77.61210226613346,75.88114902212226,75.07626514953482
84.0,147.1715831731953,115.29282920065737,96.42995930650684,85.51821326000463,79.35604350496276,75.96223002384508,74.16614541932421,73.35457765413713
87.0,146.81079749546944,114.59361558230506,95.43352914623435,84.2787016909378,77.93389765716535,74.41868766617021,72.56000987155979,71.74158930570081
90.0,146.47554934179178,113.94333967983613,94.50563574533318,83.12264117442814,76.60537358450664,72.97475241665992,71.05609415014392,70.23074682942483
93.0,146.1638858087978,113.33833628714311,93.64131327942684,82.04423682823571,75.3642677056988,71.624106999842,69.6481180666568,68.81584763847816
96.0,145.87402353956867,112.77524796088895,92.83599032208335,81.03811998968168,74.20479212983223,70.36081826601666,68.33015466007605,67.49102749420209
99.0,145.60433126967445,112.25099472305517,92.08545397449227,80.0993138728551,73.12154646977388,69.17931640959458,67.09661512119138,66.25074762507408
102.0,145.35331453274677,111.76274732030642,91.38581781141269,79.22320231149195,72.10949152030062,68.07437487631202,65.94223361992465,65.08978148337431
105.0,145.11960220816167,111.3079035481688,90.73349317593302,78.40550129078323,71.16392471104108,67.04109102383924,64.86205217722379,64.00320130058675
108.0,144.9019346481342,110.88406722700488,90.12516341936345,77.642232997012,70.2804572354902,66.0748675765384,63.85140570033741,62.98636458258667
111.0,144.69915316528645,110.48902948110945,89.55776073687727,76.92970213912713,69.45499275413972,65.17139489681475,62.90590727918213,62.03490066539682
114.0,144.51019069705345,110.12075202506067,89.02844529586453,76.2644743203674,68.68370757021391,64.32663408141423,62.021433822514645,61.144697432832416
117.0,144.33406349200843,109.77735220511322,88.5345863936218,75.64335626042643,67.96303217928562,63.53680088021981,61.19411209582226,60.311888279323256
120.0,144.16986368673042,109.45708957973542,88.07374541501838,75.06337768920086,67.28963409825313,62.798350426874904,60.42030520821128,59.53283938491782
123.0,144.0167526612742,109.15835385377791,87.64366039001561,74.52177475183993,66.66040188416041,62.10796276436291,59.696599582983,58.80413735504926
126.0,143.87395507745683,108.87965400632267,87.24223197609308,74.01597478165671,66.07243025871978,61.46252914407057,59.01979243587763,58.12257726506064
129.0,143.74075351768084,108.61960847386327,86.86751071235682,73.54358231256454,65.52300625986878,60.85913907352608,58.38687977595002,57.48515113865449
132.0,143.61648365336697,108.37693626880217,86.5176854108768,73.10236621619241,65.00959634708241,60.29506808566759,57.795044936528114,56.88903688021172
135.0,143.50052988165723,108.1504489288713,86.19107256705136,72.69024786084951,64.52983439235543,59.767766200956956,57.24164763751135,56.33158767316318
